iter	Passed	Remaining
873	1237	178
874	1238	176
875	1239	175
876	1239	173
877	1240	172
878	1241	170
879	1243	169
880	1244	168
881	1244	166
882	1245	165
883	1246	163
884	1246	162
885	1247	160
886	1248	159
887	1248	157
888	1249	156
889	1250	154
890	1250	153
891	1251	151
892	1252	150
893	1252	148
894	1253	147
895	1254	145
896	1254	144
897	1255	142
898	1256	141
899	1258	139
900	1259	138
901	1260	136
902	1261	135
903	1262	134
904	1263	132
905	1264	131
906	1265	129
907	1266	128
908	1267	126
909	1268	125
910	1269	124
911	1270	122
912	1272	121
913	1273	119
914	1274	118
915	1275	117
916	1276	115
917	1277	114
918	1278	112
919	1279	111
920	1280	109
921	1281	108
922	1282	107
923	1283	105
924	1284	104
925	1286	102
926	1287	101
927	1288	100
928	1289	98
929	1290	97
930	1291	95
931	1292	94
932	1293	92
933	1294	91
934	1295	90
935	1296	88
936	1297	87
937	1299	85
938	1300	84
939	1302	83
940	1304	81
941	1305	80
942	1307	79
943	1308	77
944	1309	76
945	1309	74
946	1310	73
947	1311	71
948	1312	70
949	1313	69
950	1314	67
951	1316	66
952	1317	64
953	1318	63
954	1319	62
955	1321	60
956	1321	59
957	1322	57
958	1323	56
959	1324	55
960	1325	53
961	1326	52
962	1327	51
963	1328	49
964	1329	48
965	1331	46
966	1332	45
967	1333	44
968	1334	42
969	1335	41
970	1336	39
971	1337	38
972	1338	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1343	30
978	1344	28
979	1346	27
980	1347	26
981	1349	24
982	1350	23
983	1351	21
984	1352	20
985	1353	19
986	1353	17
987	1354	16
988	1355	15
989	1356	13
990	1357	12
991	1358	10
992	1360	9
993	1362	8
994	1363	6
995	1364	5
996	1365	4
997	1366	2
998	1366	1
999	1367	0
